name,ingredients,diet,region
Fara,Chana dal,vegetarian,Central
Laapsi,Cinnamon,vegetarian,Central
Mawa Bati,Milk powder,vegetarian,Central
Mawa Bati,all purpose flour,vegetarian,Central
Fara,arhar dal,vegetarian,Central
Mawa Bati,arrowroot powder,vegetarian,Central
Laapsi,clarified butter,vegetarian,Central
Mawa Bati,dry fruits,vegetarian,Central
Laapsi,dry roasted,vegetarian,Central
Fara,garam masala powder,vegetarian,Central
Laapsi,jaggery,vegetarian,Central
Fara,white urad dal,vegetarian,Central
Chhena jalebi,Chhena,vegetarian,East
Chhena kheeri,Chhena,vegetarian,East
Ledikeni,Chhena,vegetarian,East
Pantua,Chhena,vegetarian,East
Ras malai,Chhena,vegetarian,East
Rasgulla,Chhena,vegetarian,East
Kalakand,Milk,vegetarian,East
Misti doi,Milk,vegetarian,East
Sandesh,Milk,vegetarian,East
Phirni,Rice,vegetarian,East
Cheera Doi,Rice,vegetarian,East
Daal puri,all purpose flour,vegetarian,East
Goja,all purpose flour,vegetarian,East
Kheer sagar,cardamom,vegetarian,East
Rasgulla,cardamom,vegetarian,East
Sandesh,cardamom,vegetarian,East
Gulab jamun,ghee,vegetarian,East
Chhena jalebi,ghee,vegetarian,East
Ledikeni,ghee,vegetarian,East
Mihidana,ghee,vegetarian,East
Pantua,ghee,vegetarian,East
Adhirasam,ghee,vegetarian,East
Chingri malai curry,ginger,non vegetarian,East
Kabiraji,ginger,non vegetarian,East
Mishti Chholar Dal,ginger,vegetarian,East
Misti doi,jaggery,vegetarian,East
Adhirasam,jaggery,vegetarian,East
Balu shahi,oil,vegetarian,East
Goja,oil,vegetarian,East
Chingri Bhape,prawns,non vegetarian,East
Prawn malai curry,prawns,non vegetarian,East
Cham cham,saffron,vegetarian,East
Kheer sagar,saffron,vegetarian,East
Sandesh,saffron,vegetarian,East
Chicken razala,saffron,non vegetarian,East
Balu shahi,sugar,vegetarian,East
Gulab jamun,sugar,vegetarian,East
Kalakand,sugar,vegetarian,East
Phirni,sugar,vegetarian,East
Chhena jalebi,sugar,vegetarian,East
Chhena kheeri,sugar,vegetarian,East
Cham cham,sugar,vegetarian,East
Kheer sagar,sugar,vegetarian,East
Ledikeni,sugar,vegetarian,East
Mihidana,sugar,vegetarian,East
Pantua,sugar,vegetarian,East
Rasgulla,sugar,vegetarian,East
Sandesh,sugar,vegetarian,East
Prawn malai curry,sugar,non vegetarian,East
Kadai paneer,Cottage cheese,vegetarian,North
Palak paneer,Cottage cheese,vegetarian,North
Shahi paneer,Cottage cheese,vegetarian,North
Shufta,Cottage cheese,vegetarian,North
Butter chicken,butter,non vegetarian,North
Naan,butter,vegetarian,North
Palak paneer,butter,vegetarian,North
Paneer butter masala,butter,vegetarian,North
Paratha,butter,vegetarian,North
Butter chicken,cashew nuts,non vegetarian,North
Dum aloo,cashew nuts,vegetarian,North
Kadai paneer,cashew nuts,vegetarian,North
Paneer butter masala,cashew nuts,vegetarian,North
Butter chicken,cream,non vegetarian,North
Dal makhani ,cream,vegetarian,North
Kofta,cream,vegetarian,North
Palak paneer,cream,vegetarian,North
Paneer tikka masala,cream,vegetarian,North
Aloo gobi,garam masala,vegetarian,North
Aloo tikki,garam masala,vegetarian,North
Aloo matar,garam masala,vegetarian,North
Aloo shimla mirch,garam masala,vegetarian,North
Bhindi masala,garam masala,vegetarian,North
Chana masala,garam masala,vegetarian,North
Chicken Tikka masala,garam masala,non vegetarian,North
Chole bhature,garam masala,vegetarian,North
Dal makhani ,garam masala,vegetarian,North
Dal tadka,garam masala,vegetarian,North
Dum aloo,garam masala,vegetarian,North
Kachori,garam masala,vegetarian,North
Kadai paneer,garam masala,vegetarian,North
Kofta,garam masala,vegetarian,North
Makki di roti sarson da saag,garam masala,vegetarian,North
Mushroom do pyaza,garam masala,vegetarian,North
Mushroom matar,garam masala,vegetarian,North
Palak paneer,garam masala,vegetarian,North
Paneer butter masala,garam masala,vegetarian,North
Shahi paneer,garam masala,vegetarian,North
Vegetable jalfrezi,garam masala,vegetarian,North
Tandoori Chicken,garam masala,non vegetarian,North
Butter chicken,garam masala powder,non vegetarian,North
Chicken Tikka,garam masala powder,non vegetarian,North
Kadhi pakoda,garam masala powder,vegetarian,North
Karela bharta,garam masala powder,vegetarian,North
Lauki ke kofte,garam masala powder,vegetarian,North
Navrattan korma,garam masala powder,vegetarian,North
Rajma chaval,garam masala powder,vegetarian,North
Aloo matar,ginger,vegetarian,North
Chana masala,ginger,vegetarian,North
Dal tadka,ginger,vegetarian,North
Kadhi pakoda,ginger,vegetarian,North
Lauki ke kofte,ginger,vegetarian,North
Makki di roti sarson da saag,ginger,vegetarian,North
Mushroom do pyaza,ginger,vegetarian,North
Rajma chaval,ginger,vegetarian,North
Shahi paneer,ginger,vegetarian,North
Vegetable jalfrezi,ginger,vegetarian,North
Bhindi masala,kasuri methi,vegetarian,North
Dal tadka,kasuri methi,vegetarian,North
Dum aloo,kasuri methi,vegetarian,North
Pindi chana,kasuri methi,vegetarian,North
Rongi,kasuri methi,vegetarian,North
Tandoori Chicken,kasuri methi,non vegetarian,North
Rajma chaval,mustard oil,vegetarian,North
Rongi,mustard oil,vegetarian,North
Sattu ki roti,mustard oil,vegetarian,North
Tandoori Chicken,mustard oil,non vegetarian,North
Aloo gobi,potato,vegetarian,North
Aloo tikki,potato,vegetarian,North
Kofta,potato,vegetarian,North
Paratha,potato,vegetarian,North
Gajar ka halwa,sugar,vegetarian,North
Lassi,sugar,vegetarian,North
Petha,sugar,vegetarian,North
Rabri,sugar,vegetarian,North
Litti chokha,tomato,vegetarian,North
Pindi chana,tomato,vegetarian,North
Rajma chaval,tomato,vegetarian,North
Rongi,tomato,vegetarian,North
Shahi paneer,tomato,vegetarian,North
Alu Pitika,Potatoes,non vegetarian,North East
Bilahi Maas,Potatoes,non vegetarian,North East
Chak Hao Kheer,Rice,vegetarian,North East
Galho,Rice,non vegetarian,North East
Kumol Sawul,Rice,non vegetarian,North East
Pithe,Rice flour,vegetarian,North East
Koldil Duck,Rice flour,non vegetarian,North East
Bilahi Maas,bay leaf,non vegetarian,North East
Haq Maas,bay leaf,non vegetarian,North East
Konir Dom,bay leaf,non vegetarian,North East
Black rice,chicken,non vegetarian,North East
Koldil Chicken,chicken,non vegetarian,North East
Maach Jhol,chillies,non vegetarian,North East
Pork Bharta,chillies,non vegetarian,North East
Galho,chillies,non vegetarian,North East
Alu Pitika,fish,non vegetarian,North East
