name,ingredients,diet,region
Balu shahi,Maida flour,vegetarian,East
Balu shahi,yogurt,vegetarian,East
Balu shahi,oil,vegetarian,East
Balu shahi,sugar,vegetarian,East
Boondi,Gram flour,vegetarian,West
Boondi,ghee,vegetarian,West
Boondi,sugar,vegetarian,West
Gajar ka halwa,Carrots,vegetarian,North
Gajar ka halwa,milk,vegetarian,North
Gajar ka halwa,sugar,vegetarian,North
Gajar ka halwa,ghee,vegetarian,North
Gajar ka halwa,cashews,vegetarian,North
Gajar ka halwa,raisins,vegetarian,North
Ghevar,Flour,vegetarian,West
Ghevar,ghee,vegetarian,West
Ghevar,kewra,vegetarian,West
Ghevar,milk,vegetarian,West
Ghevar,clarified butter,vegetarian,West
Ghevar,sugar,vegetarian,West
Ghevar,almonds,vegetarian,West
Ghevar,pistachio,vegetarian,West
Ghevar,saffron,vegetarian,West
Ghevar,green cardamom,vegetarian,West
Gulab jamun,Milk powder,vegetarian,East
Gulab jamun,plain flour,vegetarian,East
Gulab jamun,baking powder,vegetarian,East
Gulab jamun,ghee,vegetarian,East
Gulab jamun,milk,vegetarian,East
Gulab jamun,sugar,vegetarian,East
Gulab jamun,water,vegetarian,East
Gulab jamun,rose water,vegetarian,East
Imarti,Sugar syrup,vegetarian,East
Imarti,lentil flour,vegetarian,East
Jalebi,Maida,vegetarian,North
Jalebi,corn flour,vegetarian,North
Jalebi,baking soda,vegetarian,North
Jalebi,vinegar,vegetarian,North
Jalebi,curd,vegetarian,North
Jalebi,water,vegetarian,North
Jalebi,turmeric,vegetarian,North
Jalebi,saffron,vegetarian,North
Jalebi,cardamom,vegetarian,North
Kalakand,Milk,vegetarian,East
Kalakand,cottage cheese,vegetarian,East
Kalakand,sugar,vegetarian,East
Lassi,Yogurt,vegetarian,North
Lassi,milk,vegetarian,North
Lassi,nuts,vegetarian,North
Lassi,sugar,vegetarian,North
Petha,Firm white pumpkin,vegetarian,North
Petha,sugar,vegetarian,North
Petha,kitchen lime,vegetarian,North
Petha,alum powder,vegetarian,North
Phirni,Rice,vegetarian,East
Phirni,sugar,vegetarian,East
Phirni,nuts,vegetarian,East
Rabri,Condensed milk,vegetarian,North
Rabri,sugar,vegetarian,North
Rabri,spices,vegetarian,North
Rabri,nuts,vegetarian,North
Sheera,Semolina,vegetarian,West
Sheera,ghee,vegetarian,West
Sheera,nuts,vegetarian,West
Sheera,milk,vegetarian,West
Singori,Khoa,vegetarian,North
Singori,coconut,vegetarian,North
Singori,molu leaf,vegetarian,North
Sohan halwa,Corn flour,vegetarian,North
Sohan halwa,ghee,vegetarian,North
Sohan halwa,dry fruits,vegetarian,North
Sohan papdi,Gram flour,vegetarian,West
Sohan papdi,ghee,vegetarian,West
Sohan papdi,sugar,vegetarian,West
Sohan papdi,milk,vegetarian,West
Sohan papdi,cardamom,vegetarian,West
Chhena jalebi,Chhena,vegetarian,East
Chhena jalebi,sugar,vegetarian,East
Chhena jalebi,ghee,vegetarian,East
Chhena kheeri,Chhena,vegetarian,East
